song name,artist,genre,year,song name (bengali),,,,,,,,,,
A malin bastra charte hobe,Suchitra Mitra,Rabindra sangeet,2020,????? ?????? ?????? ????,,,,,,,,,,
Bhenge mor gharer chabi,Suchitra Mitra,Rabindra sangeet,2020,?????? ??? ???? ????,,,,,,,,,,
Ebar nirab kore dao ey,Suchitra Mitra,Rabindra sangeet,2020,??? ???? ???? ??? ????,,,,,,,,,,
Ekhono Ghor bhange na tor je,Suchitra Mitra,Rabindra sangeet,2020,????? ??? ???? ?? ??? ??,,,,,,,,,,
Jader chahiya tomare bhulechi,Suchitra Mitra,Rabindra sangeet,2020,????? ??????? ?????? ??????,,,,,,,,,,
Prabhu aaji tomar dakshin haat,Suchitra Mitra,Rabindra sangeet,2020,????? ??? ????? ?????? ???,,,,,,,,,,
Sakol janam bhore o mor,Suchitra Mitra,Rabindra sangeet,2020,????? ??? ??? ? ???,,,,,,,,,,
Sarthak janam amar,Suchitra Mitra,Rabindra sangeet,2020,?????? ??? ????,,,,,,,,,,
Tumi jano ogo antarjami,Suchitra Mitra,Rabindra sangeet,2020,???? ???? ??? ?????????,,,,,,,,,,
Gagoner thale,Manoj Murali Nair,Rabindra sangeet,2011,?????? ????,,,,,,,,,,
E ki e sundar shobha,Manoj Murali Nair,Rabindra sangeet,2011,? ?? ? ?????? ????,,,,,,,,,,
Mohasinghasone bosi,Manoj Murali Nair,Rabindra sangeet,2011,?????????? ???,,,,,,,,,,
Di hridayer nodi,Manoj Murali Nair,Rabindra sangeet,2011,?? ??????? ???,,,,,,,,,,
Tahare arati kore,Manoj Murali Nair,Rabindra sangeet,2011,?????? ???? ????,,,,,,,,,,
Dibanishi koriya jaten,Manoj Murali Nair,Rabindra sangeet,2011,???????? ??????? ????,,,,,,,,,,
Satya mangalo premomayo,Manoj Murali Nair,Rabindra sangeet,2011,???? ?????? ????????,,,,,,,,,,
Shubhodine Esechhe,Manoj Murali Nair,Rabindra sangeet,2011,???? ?????? ????????,,,,,,,,,,
Antare Jagichho,Manoj Murali Nair,Rabindra sangeet,2011,?????? ??????,,,,,,,,,,
Sangshoytimir Majhe,Manoj Murali Nair,Rabindra sangeet,2011,?????????? ????,,,,,,,,,,
Tomarei Korizachhi,Manoj Murali Nair,Rabindra sangeet,2011,??????? ???????,,,,,,,,,,
Eso Eso Ogo,Manoj Murali Nair,Rabindra sangeet,2010,??? ??? ???,,,,,,,,,,
Asimo Kalosagore,Manoj Murali Nair,Rabindra sangeet,2010,????? ????????,,,,,,,,,,
Amra Sobai Raja,Manoj Murali Nair,Rabindra sangeet,2010,???? ????? ????,,,,,,,,,,
Megher Kole rod,Manoj Murali Nair,Rabindra sangeet,2010,????? ???? ??,,,,,,,,,,
Aj Dhaaner khete,Manoj Murali Nair,Rabindra sangeet,2010,?? ????? ????,,,,,,,,,,
Sarat Tomar Arun,Manoj Murali Nair,Rabindra sangeet,2010,??? ????? ????,,,,,,,,,,
Dui haate kaler,Manoj Murali Nair,Rabindra sangeet,2010,??? ???? ?????,,,,,,,,,,
Dekho dekho dekho,Manoj Murali Nair,Rabindra sangeet,2010,???? ???? ????,,,,,,,,,,
Mor bhabonare,Manoj Murali Nair,Rabindra sangeet,2007,??? ???????,,,,,,,,,,
Tumi robe nirobe,Manoj Murali Nair,Rabindra sangeet,2007,???? ?? ??????,,,,,,,,,,
E ki laboney,Manoj Murali Nair,Rabindra sangeet,2007,? ?? ???????,,,,,,,,,,
Chitto amar haralo,Manoj Murali Nair,Rabindra sangeet,2007,????? ???? ??????,,,,,,,,,,
Ami tomar songe,Manoj Murali Nair,Rabindra sangeet,2007,??? ????? ?????,,,,,,,,,,
Sukhe amay,Manoj Murali Nair,Rabindra sangeet,2007,???? ????,,,,,,,,,,
Godhuligagone,Manoj Murali Nair,Rabindra sangeet,2007,??????????,,,,,,,,,,
Jodi tare nai,Manoj Murali Nair,Rabindra sangeet,2007,????? ???? ???,,,,,,,,,,
Ei je tomar prem,Manoj Murali Nair,Rabindra sangeet,2007,?? ?? ????? ?????,,,,,,,,,,
Dhora diyechhi go,Manoj Murali Nair,Rabindra sangeet,2007,???? ??????? ??,,,,,,,,,,
Tobuu Mone Rekho,Manoj Murali Nair,Rabindra sangeet,2007,???? ??? ????,,,,,,,,,,
Aaji je rajani jay,Manoj Murali Nair,Rabindra sangeet,2007,??? ?? ???? ??,,,,,,,,,,
Hriday amar nache re,Manoj Murali Nair,Rabindra sangeet,2007,????? ???? ???? ??,,,,,,,,,,
Gaanguli mor,Manoj Murali Nair,Rabindra sangeet,2007,???????? ????,,,,,,,,,,
Hey mor chitto,Manoj Murali Nair,Rabindra sangeet,2007,?? ??? ??????,,,,,,,,,,
Oi mohamanob ase,Manoj Murali Nair,Rabindra sangeet,2007,?? ??????? ???,,,,,,,,,,
Aaj Srabner Purnimate,Selina Malek,Rabindra sangeet,2003,?? ???????? ??????????,,,,,,,,,,
Phul bale dhanya ami,Selina Malek,Rabindra sangeet,2003,??? ??? ????? ???,,,,,,,,,,
Ekoda ki jani,Selina Malek,Rabindra sangeet,2003,????? ?? ????,,,,,,,,,,
Amar mon tumi nath,Selina Malek,Rabindra sangeet,2003,???? ?? ???? ???,,,,,,,,,,
Tomari jharnartalar nirjane,Selina Malek,Rabindra sangeet,2003,?????? ?????????? ???????,,,,,,,,,,
Bipade more rakshha karo,Selina Malek,Rabindra sangeet,2003,????? ??? ????? ????,,,,,,,,,,
Madhyadiner bijan,Selina Malek,Rabindra sangeet,2003,????????? ?????,,,,,,,,,,
Gahana raate srabandhara,Selina Malek,Rabindra sangeet,2003,???? ???? ??????????,,,,,,,,,,
Rimiki Jhimiki jhara,Selina Malek,Rabindra sangeet,2003,?????? ?????? ?????,,,,,,,,,,
Likhan Tomar Dhulay Hoyechhe,Selina Malek,Rabindra sangeet,2003,???? ????? ???? ?????,,,,,,,,,,
Dur deshe Sei rakhal chele,Selina Malek,Rabindra sangeet,2003,??? ???? ?? ????? ????,,,,,,,,,,
He mor durbhaga desh,Selina Malek,Rabindra sangeet,2003,?? ??? ???????? ???,,,,,,,,,,
Bahire bhool bhangbe jabe,Selina Malek,Rabindra sangeet,2003,?????? ??? ????? ????,,,,,,,,,,
Aj tomare dekhte elem,Swagatalakshmi,Rabindra sangeet,2012,?? ?????? ???? ????,,,,,,,,,,
Amake je badhbe dhore,Swagatalakshmi,Rabindra sangeet,2012,???? ?? ????? ????,,,,,,,,,,
Amare paray paray khepia baray,Swagatalakshmi,Rabindra sangeet,2012,????? ????? ??????? ??????,,,,,,,,,,
Ami pirbonare,Swagatalakshmi,Rabindra sangeet,2012,??? ?????????,,,,,,,,,,
Amra Boshbo Tomar shone,Swagatalakshmi,Rabindra sangeet,2012,???? ???? ????,,,,,,,,,,
Aro aro probhu,Swagatalakshmi,Rabindra sangeet,2012,??? ??? ?????,,,,,,,,,,
Bachan Bachi Maren Mari,Swagatalakshmi,Rabindra sangeet,2012,??? ???? ????? ????,,,,,,,,,,
Bodhua asomoy kano he prokash,Swagatalakshmi,Rabindra sangeet,2012,??????? ????? ???? ?? ??????,,,,,,,,,,
Hashi Re Ki Lukabi Laje,Swagatalakshmi,Rabindra sangeet,2012,???? ?? ?? ?????? ????,,,,,,,,,,
Ke boleche tomay bodhu,Swagatalakshmi,Rabindra sangeet,2012,?? ????? ?????? ???,,,,,,,,,,
Man obhiman bhashiye diye,Swagatalakshmi,Rabindra sangeet,2012,????? ?????? ??????? ?????,,,,,,,,,,
Molin mukhe phutuk hashi,Swagatalakshmi,Rabindra sangeet,2012,???? ???? ????? ????,,,,,,,,,,
Na bole jeona chole,Swagatalakshmi,Rabindra sangeet,2012,?? ???? ????? ????,,,,,,,,,,
Nayon mele dhekhi amay,Swagatalakshmi,Rabindra sangeet,2012,???? ???? ???? ?????,,,,,,,,,,
Or maner a badh tutibe neki,Swagatalakshmi,Rabindra sangeet,2012,???? ???? ???? ??? ?????? ????,,,,,,,,,,
Ore agun amar,Swagatalakshmi,Rabindra sangeet,2012,??? ???? ????,,,,,,,,,,
Ore shikal tomay kole kole,Swagatalakshmi,Rabindra sangeet,2012,??? ???? ?????? ???? ????,,,,,,,,,,
Roilo bole rakhle kare,Swagatalakshmi,Rabindra sangeet,2012,????? ???? ????? ????,,,,,,,,,,
Sara borosh dekhine ma,Swagatalakshmi,Rabindra sangeet,2012,???? ????? ?????? ??,,,,,,,,,,
Shokol voier vi je tare,Swagatalakshmi,Rabindra sangeet,2012,???? ??? ?? ?? ????,,,,,,,,,,
Hey Khoniker othini,Sadi Mohammad,Rabindra sangeet,2015,??? ?????? ?????,,,,,,,,,,
Dinguli Mor,Sadi Mohammad,Rabindra sangeet,2015,???????? ????,,,,,,,,,,
Eto Anondo Dhoni,Sadi Mohammad,Rabindra sangeet,2015,??? ????? ???,,,,,,,,,,
Hay Ke Dibe Ar,Sohela Jahir,Rabindra sangeet,2015,?????? ?? ???? ??,,,,,,,,,,
Jodi Jantam,Sadi Mohammad,Rabindra sangeet,2015,????? ??????,,,,,,,,,,
Shokhi Vabna Kahare bole,Sadi Mohammad,Rabindra sangeet,2015,??? ???? ?????? ????,,,,,,,,,,
Jononi Tomar Korun Choronkhani,Sadi Mohammad,Rabindra sangeet,2015,???? ????? ???? ????????,,,,,,,,,,
Amar raat pohalo,Sadi Mohammad,Rabindra sangeet,2015,???? ??? ??????,,,,,,,,,,
Ami jokhon tar duyare,Sadi Mohammad,Rabindra sangeet,2015,??? ???? ??? ???????,,,,,,,,,,
Jodi Prem Dile Na,Sadi Mohammad,Rabindra sangeet,2015,????? ????? ???? ??,,,,,,,,,,
Ke dilo aabar aaghaat,Indrani Sen,Rabindra sangeet,1991,?? ???? ??? ????,,,,,,,,,,
Amar mon maane na,Indrani Sen,Rabindra sangeet,1991,???? ?? ???? ??,,,,,,,,,,
Kaandale tumi more,Indrani Sen,Rabindra sangeet,1991,??????? ???? ????,,,,,,,,,,
Era porke aapon kore,Indrani Sen,Rabindra sangeet,1991,??? ????? ??? ????,,,,,,,,,,
Aami elem tari dare,Indrani Sen,Rabindra sangeet,1991,??? ???? ???? ????,,,,,,,,,,
Ami tomar shonge bhendhechi aamaro pran,Indrani Sen,Rabindra sangeet,1991,??? ????? ????? ??????? ????? ?????,,,,,,,,,,
Aaji dokhino pobone,Indrani Sen,Rabindra sangeet,1991,??? ?????? ??????,,,,,,,,,,
Aamar mon kemon kore,Indrani Sen,Rabindra sangeet,1991,???? ?? ???? ????,,,,,,,,,,
Aaguner Parashmoni,Indrani Sen,Rabindra sangeet,2012,?????? ???????,,,,,,,,,,
Aalo aamar aalo,Indrani Sen,Rabindra sangeet,2012,??? ???? ???,,,,,,,,,,
Phire Phire Dakbe,Indrani Sen,Rabindra sangeet,2012,???? ???? ?????,,,,,,,,,,
Ei Kathaki Mone Rekho,Indrani Sen,Rabindra sangeet,2012,?? ????? ??? ????,,,,,,,,,,
Aami hridayer katha,Indrani Sen,Rabindra sangeet,2012,??? ??????? ???,,,,,,,,,,
Dhara Diyechi Go,Indrani Sen,Rabindra sangeet,2012,?? ??????? ??,,,,,,,,,,
E Pathey Aami jey,Indrani Sen,Rabindra sangeet,2012,? ?????? ??? ???,,,,,,,,,,
Tumi Kemon korey Gaan koro,Indrani Sen,Rabindra sangeet,2012,? ????? ??? ??,,,,,,,,,,
Noy Noy E Madhur khela,Indrani Sen,Rabindra sangeet,2012,??? ??? ? ???? ????,,,,,,,,,,
Pagla Hawar Badal Dine,Indrani Sen,Rabindra sangeet,2010,????? ??????? ???? ????,,,,,,,,,,
Aamar Hridoy Tomar Apon,Indrani Sen,Rabindra sangeet,2010,???? ????? ????? ???,,,,,,,,,,
Aakash Bhara Surya Tara,Indrani Sen,Rabindra sangeet,2010,???? ?? ????? ????,,,,,,,,,,
Sanghana gahana ratri,Indrani Sen,Rabindra sangeet,2010,???? ???? ??????,,,,,,,,,,
Ei korecheo bhalo,Indrani Sen,Rabindra sangeet,2010,?? ?????? ????,,,,,,,,,,
Ora Akaran chanchal,Indrani Sen,Rabindra sangeet,2010,??? ???? ?????,,,,,,,,,,
Tumi Sandhyar Meghamala,Indrani Sen,Rabindra sangeet,2010,???? ???????? ???????,,,,,,,,,,
Edin Aji Kon Ghare Go,Indrani Sen,Rabindra sangeet,2010,???? ??? ??? ??? ??,,,,,,,,,,
Aponare Diye Rochili,Ritu Guha,Rabindra sangeet,2005,????? ????? ?????,,,,,,,,,,
O Akuler Kul,Ritu Guha,Rabindra sangeet,2005,?? ?????? ???,,,,,,,,,,
Bare Bare Peyechi,Ritu Guha,Rabindra sangeet,2005,???? ???? ?????,,,,,,,,,,
Shuni Oi Runujhunu,Ritu Guha,Rabindra sangeet,2005,???? ?? ????????,,,,,,,,,,
Tomari Tore Maa,Ritu Guha,Rabindra sangeet,2005,?????? ???? ??,,,,,,,,,,
Ami Kemon Koriya,Ritu Guha,Rabindra sangeet,2005,??? ???? ??????,,,,,,,,,,
Tumi Jeyo Na,Ritu Guha,Rabindra sangeet,2005,???? ???? ??,,,,,,,,,,
Jogate anandajogge,Ritu Guha,Rabindra sangeet,2005,????????? ????,,,,,,,,,,
Chhilo Je Poraner,Ritu Guha,Rabindra sangeet,2005,???? ?? ??????,,,,,,,,,,
Din Phurab Hey,Ritu Guha,Rabindra sangeet,2005,??? ????? ??,,,,,,,,,,
Barso Oi Gelo Chole,Ritu Guha,Rabindra sangeet,2005,????? ?? ???? ????,,,,,,,,,,
Shubhro asane biraj,Ritu Guha,Rabindra sangeet,1993,????? ????? ?????,,,,,,,,,,
Nath hey,Ritu Guha,Rabindra sangeet,1993,??? ??,,,,,,,,,,
Srabaner Dharar Mato,Ritu Guha,Rabindra sangeet,1993,???????? ??? ????,,,,,,,,,,
Taro Taro Hori,Ritu Guha,Rabindra sangeet,1993,???? ???? ????,,,,,,,,,,
Nayan Bhasilo,Ritu Guha,Rabindra sangeet,1993,???? ??????,,,,,,,,,,
Amar Naiba Holo Pare Jaoya,Ritu Guha,Rabindra sangeet,1993,???? ????? ??? ??? ??????,,,,,,,,,,
Kon Se Jharer Bhool,Ritu Guha,Rabindra sangeet,1993,??? ?? ????? ???,,,,,,,,,,
Phiro Na Phiro Na,Ritu Guha,Rabindra sangeet,1993,???? ?? ???? ??,,,,,,,,,,
Ei Je Kalo Matir Basa,Ritu Guha,Rabindra sangeet,1993,?? ?? ???? ????? ????,,,,,,,,,,
E Ki Karuna Karunamoy,Ritu Guha,Rabindra sangeet,1993,? ?? ????? ????????,,,,,,,,,,
Kal Raater Bela Gaan Elo Mor Mone,Ritu Guha,Rabindra sangeet,1993,??? ????? ???? ??? ??? ?? ???,,,,,,,,,,
Dukkho rate he nath ke bakile,Ritu Guha,Rabindra sangeet,1993,????? ??? ?? ??? ?? ??????,,,,,,,,,,
Shranta Keno Ohe Pantha,Ritu Guha,Rabindra sangeet,1993,??????? ???? ??? ?????,,,,,,,,,,
Ekmone Tor Ektarate,Ritu Guha,Rabindra sangeet,1993,????? ??? ????????,,,,,,,,,,
Ananda Tumi swami,Ritu Guha,Rabindra sangeet,1993,????? ???? ??????,,,,,,,,,,
Aji Ankhi Juralo,Ritu Guha,Rabindra sangeet,1993,??? ???? ??????,,,,,,,,,,
Gabhir Rajani Namilo Hridaye,Ritu Guha,Rabindra sangeet,1993,???? ???? ?????? ??????,,,,,,,,,,
Chhilo Je Poraner,Ritu Guha,Rabindra sangeet,1993,???? ?? ??????,,,,,,,,,,
Aaha Tomar Sange,Ritu Guha,Rabindra sangeet,1993,??? ????? ?????,,,,,,,,,,
Ke jay Amritadhamjatri,Ritu Guha,Rabindra sangeet,1993,?? ??? ?????????????,,,,,,,,,,
Amar Bhanga Pather Ranga Dhulay,Kamalini Mukherji,Rabindra sangeet,2011,???? ?????? ?? ???? ??????,,,,,,,,,,
Sukhoheen Nishideen,Kamalini Mukherji,Rabindra sangeet,2011,??????? ???????,,,,,,,,,,
Khelaghar Bandhtey Legechhi,Kamalini Mukherji,Rabindra sangeet,2011,?????? ?????? ??????,,,,,,,,,,
Bahir Pathe Bibagi Hiya,Kamalini Mukherji,Rabindra sangeet,2011,????? ??? ?????? ?????,,,,,,,,,,
Jibonmaraner Seemana Chharaye,Kamalini Mukherji,Rabindra sangeet,2011,????????? ?????? ??????,,,,,,,,,,
Gaanguli Mor Shoibaleri Dol,Kamalini Mukherji,Rabindra sangeet,2011,???????? ??? ????????? ???,,,,,,,,,,
Baaje Karun Shure,Kamalini Mukherji,Rabindra sangeet,2011,???? ???? ????,,,,,,,,,,
Jago Basanta Jago,Banani Ghosh,Rabindra sangeet,1999,???? ????? ????,,,,,,,,,,
Kshamiyo Hey Shib,Banani Ghosh,Rabindra sangeet,1999,????????? ?? ???,,,,,,,,,,
Amar Ghum Bhangano Chand,Banani Ghosh,Rabindra sangeet,1999,???? ??? ???????? ????,,,,,,,,,,
Tabo Antar Eto Manthar,Banani Ghosh,Rabindra sangeet,1999,???? ????? ??? ?????,,,,,,,,,,
Ki Aar Chahibo Balo,Banani Ghosh,Rabindra sangeet,1999,?? ?? ????? ????,,,,,,,,,,
Jagao Pathike,Banani Ghosh,Rabindra sangeet,1999,????? ?????,,,,,,,,,,
Bela Je Phuraye Jay,Banani Ghosh,Rabindra sangeet,1999,???? ?? ??????? ????,,,,,,,,,,
Dheere Dheere More,Banani Ghosh,Rabindra sangeet,1999,???? ???? ????,,,,,,,,,,
Madhukale Elo Phul,Banani Ghosh,Rabindra sangeet,1999,?????? ??? ???,,,,,,,,,,
Pagla Monatre Tui Bandh,Banani Ghosh,Rabindra sangeet,1999,????? ?????? ??? ????,,,,,,,,,,
Ki Bhoy Abhoydhane,Banani Ghosh,Rabindra sangeet,1986,?? ??? ???????,,,,,,,,,,
Ogo Amar Chiro,Banani Ghosh,Rabindra sangeet,1986,??? ???? ????,,,,,,,,,,
Jodi Baran Karo Tobe Gahibo Na,Banani Ghosh,Rabindra sangeet,1986,????? ??? ??? ???? ????? ??,,,,,,,,,,
Hriday Mor Komol Oti,Banani Ghosh,Rabindra sangeet,1986,????? ??? ??? ???,,,,,,,,,,
Sangsare Kono,Banani Ghosh,Rabindra sangeet,1986,?????? ????,,,,,,,,,,
Kakhan basanto gelo,Banani Ghosh,Rabindra sangeet,1986,??? ?????? ????,,,,,,,,,,
Tomar Dekha Pabo Boley,Banani Ghosh,Rabindra sangeet,1986,????? ???? ???? ????,,,,,,,,,,
Tumi Chhere Chhile Bhule Chhile Bole,Banani Ghosh,Rabindra sangeet,1986,???? ???? ???? ??? ???? ????,,,,,,,,,,
Hori Tomai Daki,Banani Ghosh,Rabindra sangeet,1986,???? ????? ????,,,,,,,,,,
Sandhya Holo Go O Ma,Banani Ghosh,Rabindra sangeet,1986,??????? ???? ?? ?? ??,,,,,,,,,,
Emoni Kore Ghuribo Dure Bahire,Banani Ghosh,Rabindra sangeet,1986,????? ???? ?????? ???? ??????,,,,,,,,,,
Shunalo Shunalo Balika,Banani Ghosh,Rabindra sangeet,1986,?????? ?????? ??????,,,,,,,,,,
E Ki Harasha Heri Kanane,Banani Ghosh,Rabindra sangeet,1986,? ?? ?????? ???? ?????,,,,,,,,,,
Madhur Rupe Birajo He Biswaraj,Banani Ghosh,Rabindra sangeet,1986,???? ???? ?????? ?? ????????,,,,,,,,,,
Ja Hariye Jay Ta Aagle Bose,Banani Ghosh,Rabindra sangeet,1986,?? ??????? ?? ?? ???? ???,,,,,,,,,,
Tomar Katha Hetha keho To Bale Na,Banani Ghosh,Rabindra sangeet,1986,????? ??? ???? ???? ?? ??? ??,,,,,,,,,,
Dheere Dheere Prane Amar Eso Hey,Banani Ghosh,Rabindra sangeet,1986,???? ???? ?????? ???? ??? ??,,,,,,,,,,
Din Pore Jay Din,Papia Sarwar,Rabindra sangeet,2005,??? ???? ???? ???,,,,,,,,,,
Badal dhara holo sara,Papia Sarwar,Rabindra sangeet,2005,???? ?? ???? ????,,,,,,,,,,
Kotobar Bhebechinu,Papia Sarwar,Rabindra sangeet,1994,?????? ????????,,,,,,,,,,
Hela Bela Sarabela,Papia Sarwar,Rabindra sangeet,1994,???? ???? ????????,,,,,,,,,,
Purbacholer Pane Takai,Papia Sarwar,Rabindra sangeet,1994,????????? ???? ?????,,,,,,,,,,
Ei poth geche konkhane,Papia Sarwar,Rabindra sangeet,1994,?? ?? ???? ??????,,,,,,,,,,
Rohi rohi anando torongo majhe,Papia Sarwar,Rabindra sangeet,1994,??? ???? ????? ??????? ????,,,,,,,,,,
Khelar Sathi Biday,Papia Sarwar,Rabindra sangeet,1994,????? ???? ??????,,,,,,,,,,
Sheuli phool sheuli phool,Papia Sarwar,Rabindra sangeet,1994,????? ??? ????? ???,,,,,,,,,,
Borisho dhara majhey,Papia Sarwar,Rabindra sangeet,1994,????? ?? ????,,,,,,,,,,
Baro Asha Kore,Asha Bhosle,Rabindra sangeet,1980,???? ??? ????,,,,,,,,,,
Kusume Kusume Charonchinha,Asha Bhosle,Rabindra sangeet,1980,?????? ?????? ?????????,,,,,,,,,,
Amar bela je jai,Asha Bhosle,Rabindra sangeet,1980,???? ???? ?? ????,,,,,,,,,,
Tummi kun kananer phul,Asha Bhosle,Rabindra sangeet,1980,?????? ??? ?????? ???,,,,,,,,,,
Amar Mon Manne Na,Asha Bhosle,Rabindra sangeet,1980,???? ?? ??? ??,,,,,,,,,,
Ramkrishna hari tumake,Bholanath Mukhopadhay,Shyama sangeet,2010,???????? ??? ??????,,,,,,,,,,
Ramkrishno Karunashindhu,Manomay Bhattacharya,Shyama sangeet,2010,???????? ???????????,,,,,,,,,,
Satya shibo sundaro rupo,Manomay Bhattacharya,Shyama sangeet,2010,???? ???? ?????? ????,,,,,,,,,,
Ke bolere make amar,Swaraj Roy,Shyama sangeet,1981,?? ????? ?? ?? ???,,,,,,,,,,
Ami bhakti jabar,Swaraj Roy,Shyama sangeet,1981,??? ????? ?????,,,,,,,,,,
Shyama namer laglo aagun,Swaraj Roy,Shyama sangeet,1981,?????? ????? ????? ????,,,,,,,,,,
Kali namer koboz mala,Swaraj Roy,Shyama sangeet,1981,???? ????? ????? ????,,,,,,,,,,
Shyama maa tor choron tole,Swaraj Roy,Shyama sangeet,1981,?????? ?? ??? ???? ????,,,,,,,,,,
Mukti ami chai na,Swaraj Roy,Shyama sangeet,1981,?????? ??? ??? ??,,,,,,,,,,
Monre shyama make dako,Swaraj Roy,Shyama sangeet,1981,???? ?????? ????,,,,,,,,,,
Joy ma jononi,Swaraj Roy,Shyama sangeet,1981,??? ?? ????,,,,,,,,,,
Din je gelo helay,Swaraj Roy,Shyama sangeet,1981,??? ?????? ????,,,,,,,,,,
Amaspandito ghano ratri,Pannalal Bhattacharya,Shyama sangeet,1981,??????????? ???? ??????,,,,,,,,,,
Sar koro na asarmoti,Dhananjay Bhattacharya,Shyama sangeet,1981,??? ??? ?? ??????,,,,,,,,,,
Bande Sristi Bidhaini,Dhananjay Bhattacharya,Shyama sangeet,1981,????? ?????? ??????,,,,,,,,,,
Jato kotha sango holo,Asitava,Shyama sangeet,1988,??? ??? ?????? ????,,,,,,,,,,
Moon bali sono bhalo,Asitava,Shyama sangeet,1988,?? ???? ???? ????,,,,,,,,,,
Sudha mukh bole tor,Asitava,Shyama sangeet,1988,???? ??? ???? ???,,,,,,,,,,
Bado bhool korechi,Asitava,Shyama sangeet,1988,???? ??? ??????,,,,,,,,,,
Ripu daloni shyama,Asitava,Shyama sangeet,1988,???? ???? ??????,,,,,,,,,,
Amay kon doshe pathali,Asitava,Shyama sangeet,1988,???? ??? ???? ?????,,,,,,,,,,
Maa tor mandomala,Asitava,Shyama sangeet,1988,?? ??? ?????????,,,,,,,,,,
Na chaite tay,Asitava,Shyama sangeet,1988,?? ????? ???,,,,,,,,,,
Bhalo noy mor kon kale,Asitava,Shyama sangeet,1988,???? ??? ??? ??? ???,,,,,,,,,,
Aadhar ghote aadhar aasha,Asitava,Shyama sangeet,1988,???? ???? ???? ???,,,,,,,,,,
Aamar Sarboankge Likhe Dio,Amrik Singh Arora,Shyama sangeet,1995,???? ??????? ???? ???,,,,,,,,,,
Aami Aar Janame Maa Habo,Amrik Singh Arora,Shyama sangeet,1995,??? ?? ???? ?? ???,,,,,,,,,,
Maa Ye Pagol Chele,Amrik Singh Arora,Shyama sangeet,1995,?? ???? ???? ????,,,,,,,,,,
Ghatak chilo ke,Amrik Singh Arora,Shyama sangeet,1995,??? ???? ??,,,,,,,,,,
Ke choleche dakhineswar,Amrik Singh Arora,Shyama sangeet,1995,?? ?????? ???????????,,,,,,,,,,
Aamar jante eiche kore,Amrik Singh Arora,Shyama sangeet,1995,???? ?????? ??? ????,,,,,,,,,,
Kon sakine chiti dile pabi,Amrik Singh Arora,Shyama sangeet,1995,?? ?????? ???? ???? ????,,,,,,,,,,
Yoger anko sekhali,Amrik Singh Arora,Shyama sangeet,1995,????? ???? ??????,,,,,,,,,,
Kamla bagla balo,Amrik Singh Arora,Shyama sangeet,1995,???? ???? ????,,,,,,,,,,
Aamay De Ma Pagol Kore,Pannalal Bhattacharya,Shyama sangeet,1976,??? ?? ?? ????? ????,,,,,,,,,,
Mayer paaye jaba hoye,Pannalal Bhattacharya,Shyama sangeet,1976,?????? ????? ??? ???,,,,,,,,,,
Ma Sadanandamoyi Kali,Pannalal Bhattacharya,Shyama sangeet,1976,?? ??????????? ????,,,,,,,,,,
Ma ggo muchhiye de mor,Pannalal Bhattacharya,Shyama sangeet,1976,?? ?? ??????? ?? ??,,,,,,,,,,
Tor mato ma eto apan,Pannalal Bhattacharya,Shyama sangeet,1976,??? ???? ?? ??? ???,,,,,,,,,,
Bhebe dekh mon keu karo noy,Pannalal Bhattacharya,Shyama sangeet,1976,???? ??? ?? ??? ??? ???,,,,,,,,,,
Amar sadh na mitilo,Pannalal Bhattacharya,Shyama sangeet,1976,???? ??? ?? ??????,,,,,,,,,,
Shayama Maa Ki Amar kalo,Pannalal Bhattacharya,Shyama sangeet,1976,?????? ?? ?? ???? ????,,,,,,,,,,
Ami jodi bhul kori ma,Pannalal Bhattacharya,Shyama sangeet,1976,??? ????? ??? ??? ??,,,,,,,,,,
Jenechhi jenechhi tara,Pannalal Bhattacharya,Shyama sangeet,1976,?????? ?????? ????,,,,,,,,,,
Chintamoyee Tara Tumi,Pannalal Bhattacharya,Shyama sangeet,1976,?????????? ???? ????,,,,,,,,,,
Mago Anandamoyee,Pannalal Bhattacharya,Shyama sangeet,1976,???? ?????????,,,,,,,,,,
Shato Naame Kato Jane,Pannalal Bhattacharya,Shyama sangeet,1976,?? ??? ??? ????,,,,,,,,,,
Ma  go samay to thakbe na,Pannalal Bhattacharya,Shyama sangeet,1976,?? ?? ???? ?? ????? ??,,,,,,,,,,
Mon tomar ei bhram gelo na,Pannalal Bhattacharya,Shyama sangeet,1976,?? ????? ? ???? ??? ??,,,,,,,,,,
Moneri basana shyama,Pannalal Bhattacharya,Shyama sangeet,1976,???? ????? ??????,,,,,,,,,,
Kotha bhabadara,Pannalal Bhattacharya,Shyama sangeet,1976,???? ??????,,,,,,,,,,
Tui Naki Ma Dayamoyi,Pannalal Bhattacharya,Shyama sangeet,1976,??? ??? ?? ????????,,,,,,,,,,
O ma kali chirakaal,Pannalal Bhattacharya,Shyama sangeet,1976,? ?? ???? ??????,,,,,,,,,,
Ma tor kato ranga dekhbo,Pannalal Bhattacharya,Shyama sangeet,1976,?? ??? ?? ???? ??????,,,,,,,,,,
Dosh Karo Noy Go Ma,Pannalal Bhattacharya,Shyama sangeet,1976,??? ??? ??? ?? ??,,,,,,,,,,
chau naa mago raja hote,Pannalal Bhattacharya,Shyama sangeet,1976,??? ?? ???? ???? ????,,,,,,,,,,
Ami sab chhere ma,Pannalal Bhattacharya,Shyama sangeet,1976,??? ?? ???? ??,,,,,,,,,,
