song name,artist,genre,year,song name (bengali),,,,,,,,,,
Momo Mayamoy Swapane,Shabnam Abedi,nazrul,2015,???? ???????? ??????,,,,,,,,,,
Tolomol Tolomol Podobhore ,Indrani Sen & Dhiren Basu,nazrul,1999,????? ????? ??????,,,,,,,,,,
Mora Jhonjhar Moto Uddam,Indrani Sen & Dhiren Basu,nazrul,1999,???? ?????? ???? ??????,,,,,,,,,,
E ki sure tumi gan shonale  ,Manna Dey,nazrul,1984,? ?? ???? ???? ??? ??????,,,,,,,,,,
Malati manjari phutibe, Kalyani Chattopadhyay,nazrul,1937,????? ?????? ??????,,,,,,,,,,
Braje abar ashbe phire,Anasuya Mukherjee,nazrul,1988,????? ???? ???? ????,,,,,,,,,,
Ami Path Manjari Phutechhi Andhar Rate ,Purnajyoti Bhattacharya,nazrul,1937,??? ?? ?????? ?????? ?????? ????,,,,,,,,,,
Rongila Apne Radha ,Sabiha Mahbub,nazrul,2016,??????? ???? ????,,,,,,,,,,
"Firia Esho, Esho He Priyo",Tara Debi,nazrul,1934,"??????? ???, ??? ?? ??????",,,,,,,,,,
Ami Path Manjari Phutechhi ,Purnajyoti Bhattacharya,nazrul,1937,??? ?? ?????? ??????,,,,,,,,,,
Ke Tumi Durer Sathi  ,Indrani Sen,nazrul,1986,?? ???? ????? ????,,,,,,,,,,
Kheliche Jolo Debi ,Usha Uthup,nazrul,1988,????? ???? ????,,,,,,,,,,
Koto jugo Jeno Dekhini Tomay,Firoza Begum,nazrul,1974,???? ???? ???? ????? ?????,,,,,,,,,,
Ki Hobe Janiya  , Purabi Dutta,nazrul,2015,?? ???? ???????,,,,,,,,,,
Ami potho monjori ,Purnajyoti Bhattacharya,nazrul,1937,??? ???? ??????,,,,,,,,,,
je raate mor duar gulo vanglo jhore, Indrani Sen,nazrul,2010,?? ???? ?? ?????? ???? ????? ????,,,,,,,,,,
Paradeshi Priyotamo Eso Phire ,Purabi Dutta,nazrul,2015,?????? ????????? ??? ????,,,,,,,,,,
Jabar Belay Phele Jeo ,Prabhati Mukherjee,nazrul,2015,??? ?????? ???? ?????,,,,,,,,,,
Mohammader Nam Jopechhili ,Abbas Uddin Ahmad,nazrul,1938,?????????? ??? ????????,,,,,,,,,,
Allah Namer Beej Bunechhi ,Abbas Uddin Ahmad,nazrul,1941,?????? ??? ??? ??????,,,,,,,,,,
He Namaji ,Abbas Uddin Ahmad,nazrul,1936,??? ??????,,,,,,,,,,
Hridoye Kaar Smriti,Piyali Datta ,nazrul,2019,?????? ??? ??????,,,,,,,,,,
E Akhi Jol Mocho Priya  Gaan Diye Shuru,Niharbala Debi,nazrul,1938,? ??? ?? ???? ??????? ??? ????? ????,,,,,,,,,,
Madhabi Tale Chalo Madhabika Dal ,Anima Debi,nazrul,1936,????? ??? ??? ??????? ??,,,,,,,,,,
Bagichay Bulbuli Tui  ,Firoza Begum,nazrul,1991,???????? ??????? ???,,,,,,,,,,
Parodeshi bodhu,Chandraboli Rudra Dutta,nazrul,2019,??????? ???,,,,,,,,,,
Keno Ano Phulador Aji Bidaybela  ,Indubala Debi,nazrul,1931,???? ??? ????? ??? ??????????,,,,,,,,,,
FAGUN RATER PHULER NESHAY ,Indubala Debi,nazrul,1932,????? ????? ????? ??????,,,,,,,,,,
Phagun Rater Phooler Neshay,Indubala Debi,nazrul,1932,????? ????? ????? ??????,,,,,,,,,,
Chharite Paran Nahi Chay , Protiva Som,nazrul,1929,????? ???? ??? ???,,,,,,,,,,
GAGANE PABANE AJI CHHORIYE GECHHE RANG ,Yakub Ali Khan,nazrul,2015,???? ????? ??? ???????? ???? ??,,,,,,,,,,
Garaje Gomvir Gagane Kombu ,Firoza Begum,nazrul,1997,????? ?????? ???? ?????,,,,,,,,,,
GAGANE SAGHANA CHAMKICHHE DAMINI (1942) , Satyen Ghoshal,nazrul,1942,???? ????? ??????? ??????,,,,,,,,,,
